5 16.8 1.6
6 14.1 2.0
7 12.2 2.4
8 10.8 2.5
9 9.6 2.5
10 8.8 2.6
13 6.8 2.6
15 5.9 2.6
15 5.9 2.5
18 5.0 2.5
